German,English
die Unbequemlichkeit,the inconvenience
das Urheberrecht,the copyright
imitieren,to imitate
ruinieren,to ruin
einen Betrieb lahmlegen,to paralyze a company
etwas boykottieren,to boycott something
missbrauchen,to abuse
ausspionieren,to spy
dreist,brazen
in dubiose Geschäfte verwickelt sein,to be involved in dubious business
das Projekt,the project
die Auktion,the auction
die Aktie,the share / stock
der Aktienkurs,the stock price
der Börsenkurs,the stock market price
die finanzielle Zuwendung,the financial grant
"die Anleihe, das Darlehen","""the bond, the loan"""
der Abgabetermin,the deadline
die Post,the mail
der Absender,the sender
den Briefkasten leeren,to empty the mailbox
die Postleitzahl,the postal code
liefern,to deliver
einsenden,to send in
entsenden,to send out
zurücksenden,to send back
der Versand,the shipping
das Paket wiegen,to weigh the package
den Brief frankieren,to put a stamp on the letter
der Bruchteil,the fraction
die Hälfte,the half
das Drittel,the third
das Fünftel,the fifth
zuweisen,to assign
"fabrizieren, herstellen","""to fabricate, to manufacture"""
beschaffen,to procure
expandieren,to expand
die Bestellung stornieren,to cancel the order
jemanden beeinflussen,to influence someone
überheblich,arrogant
intern,internal
"angenommen, dass","""assuming that"""
die Voraussetzung,the prerequisite
sich bewerben,to apply
der Bewerber,the applicant
das Bewerbungsfoto,the application photo
der Anhang,the attachment
das Zeugnis,the certificate / report card
die Bitte,the request
"unter der Bedingung, dass ...","""on the condition that..."""
der Ehrgeiz,the ambition
die Tendenz,the tendency
der Lohn,the wage / salary
die Kompetenz,the competence
die Abfindung,the severance pay
der Arbeitgeber,the employer
der Arbeitnehmer,the employee
der Vorgänger,the predecessor
der Vermittler,the mediator
der Berater,the consultant
der Chef,the boss
die Sekretärin,the secretary
das Genie,the genius
die Ablehnung,the rejection
die Angelegenheit besprechen,to discuss the matter
einen Bericht verfassen,to write a report
kündigen,to quit
die Kündigung,the notice of termination
die Kündigungsfrist,the notice period
das Angebot,the offer
das Gästebuch,the guest book
die Zustellung,the delivery
jemandem etwas bieten,to offer someone something
jemandem eine Stelle anbieten,to offer someone a job
etwas erreichen,to achieve something
nach etwas streben,to strive for something
jemanden unterschätzen,to underestimate someone
jemanden überschätzen,to overestimate someone
bezwecken,to aim at
zusammenarbeiten,to work together
tendieren,to tend to
die Überstunden auszahlen,to pay for overtime
aufrichtig,sincere
eifrig,eager
angemessen,appropriate
unentbehrlich,indispensable
erreichbar,reachable
bescheiden sein,to be modest
skrupellos,unscrupulous
die Gemeinde,the community / municipality
die Behörde,the authority
verwalten,to manage / administer
die Verwaltung,the administration
die Abteilung,the department
der Wartesaal,the waiting room
Schlange stehen,to stand in line
registrieren,to register
etwas berücksichtigen,to take something into account
etwas bewilligen,to grant / approve
für jemanden bürgen,to vouch for someone
den Termin versäumen,to miss the appointment
die Beglaubigung,the certification
das Attest,the certificate
beurkunden,to certify
die Urkunde,the document
der Rechtsstreit,the lawsuit
die Kaution,the security deposit
das Asyl,the asylum
der Eid,the oath
die Mahnung,the reminder / dunning letter
der Volksentscheid,the referendum
die Selbstbeteiligung,the deductible
die Amnestie,the amnesty
der Aufschub,the deferral
die Auswanderung,the emigration
der Schadensersatz,the compensation for damages
das Gerichtsgebäude,the courthouse
gerichtlich,judicial
jemandem Entschädigung zahlen,to pay someone compensation
die Entschädigung,the compensation
jemanden verklagen,to sue someone
die Klage,the lawsuit
eine Klage einreichen,to file a lawsuit
der Gehorsam,the obedience
der Respekt,the respect
der Zwang,the coercion
einwilligen,to consent
jemanden ausliefern,to extradite someone
jemanden bestechen,to bribe someone
unbestechlich,incorruptible
abschaffen,to abolish
etwas widerrufen,to revoke something
eine Strafe androhen,to threaten a penalty
jemanden suspendieren,to suspend someone
auf jemanden Rücksicht nehmen,to show consideration for someone
jemanden abschieben,to deport someone
unnachgiebig,unyielding
kommunal,communal
"demütig, unterwürfig","""humble, submissive"""
erlaubt,allowed
unerlaubt,not allowed / forbidden
strafbar,punishable
fälschungssicher (wörtl.: sicher vor Fälschung),forgery-proof (lit.: safe from forgery)
zusammenrechnen,to add up
kalkulieren,to calculate
minus,minus
plus,plus
malnehmen mit (multiplizieren),to multiply by
teilen durch (dividieren),to divide by
ist gleich,is equal to
geizig,stingy
wertlos,worthless
"lukrativ, profitabel","""lucrative, profitable"""
die Bilanz,the balance sheet
die Börse,the stock exchange
die Stiftung,the foundation
spenden,to donate
die Spende,the donation
der finanzielle Aufwand,the financial expense
das Schema,the scheme
der Umsatz,the turnover
Gewinn machen,to make a profit
der Ersatz,the replacement
die Steuererklärung,the tax return
Steuern hinterziehen,to evade taxes
die Forderung,the demand / claim
die Anhäufung,the accumulation
die Buchhaltung,the accounting
der Wucherer,the usurer
die Wahrscheinlichkeit,the probability
der Kontoinhaber,the account holder
der PIN-Code,the PIN code
Geld vom Konto abbuchen,to withdraw money from the account
Geld überweisen,to transfer money
die Stornogebühren,the cancellation fees
jemandem etwas gutschreiben,to credit something to someone
errechnen,to calculate
ausgleichen,to balance / compensate
die Zahlung,the payment
zahlungsfähig,solvent
zahlungsunfähig,insolvent
das Bündel Geldscheine,the bundle of banknotes
der Rest,the rest / change
die Geldabwertung,the currency devaluation
der Ruin,the ruin
etwas steigern,to increase something
die Steigerung,the increase
jemanden herausfordern,to challenge someone
etwas erweitern,to expand something
verschieben,to postpone
pfänden,to seize
spekulieren,to speculate
wertvoll,valuable
finanziell,financial
ausreichend,sufficient
die Chemie,the chemistry
die Umdrehung,the rotation
das Vakuum,the vacuum
"die Stärke, die Kraft, die Wucht","""the strength, the force, the impact"""
die Antenne,the antenna
das Bergwerk,the mine
die Kante,the edge
die Linse,the lens
das Pendel,the pendulum
die Lupe,the magnifying glass
der Würfel,the cube
die Rakete,the rocket
die Spirale,the spiral
der Bohrer,the drill
das Gemisch,the mixture
der Abdruck,the print / impression
der Stromausfall,the power outage
"das Fachwissen, das Know-how","""the expertise, the know-how"""
forschen,to research
der Forscher,the researcher
erfinden,to invent
die Erfindung,the invention
die Formel,the formula
kombinieren,to combine
die Kombination,the combination
versuchen,to try
erproben,to test
verfälschen,to falsify
kaputt machen,to break something
etwas verstärken,to reinforce something
zischen,to hiss
zusammendrücken,to press together
etwas anschrauben,to screw something on
die Maschine zerlegen,to dismantle the machine
destillieren,to distill
glühen,to glow
erhellen,to illuminate
stabilisieren,to stabilize
abmessen,to measure
erheblich,considerable
eckig,angular
kreisförmig,circular
wirksam,effective
ätzend,caustic
"intuitiv, gefühlsmäßig","""intuitive, by feeling"""
uneben,uneven
unterbrochen,interrupted
ultraviolett,ultraviolet
infrarot,infrared
unsinnig,senseless
der Bildschirm,the screen
die Tastatur,the keyboard
die (Computer-)Maus,the (computer) mouse
die Festplatte,the hard disk
der Arbeitsspeicher,the RAM
die Hardware,the hardware
die Software,the software
das Betriebssystem,the operating system
die Lizenz,the license
der Bildpunkt,the pixel
der Quellcode,the source code
das (Computer-)Programm,the (computer) program
das Computerspiel,the computer game
der (Computer-)Virus,the (computer) virus
die Datei,the file
der Treiber,the driver
das Netzwerk,the network
der Benutzer,the user
der Zugang,the access
sich einloggen,to log in
das Passwort,the password
das Ladegerät,the charger
der Pfeil,the arrow
die Anwendung,the application
die Datenbank,the database
Daten eingeben,to enter data
die Datei herunterladen,to download the file
installieren,to install
sich online registrieren,to register online
tippen,to type
etwas versenden,to send something
der Anhang einer E-Mail,the attachment of an e-mail
verknüpfen,to link
"benutzerfreundlich, einfach zu benutzen","""user-friendly, easy to use"""
extern,external
imaginär,imaginary
undefiniert,undefined
etwas schleifen,to sand something
das Schleifpapier,the sandpaper
die Schleifmaschine,the sanding machine
der Schraubenzieher,the screwdriver
die Zange,the pliers
der Riemen,the strap
die Pumpe,the pump
der Schlauch,the hose
die Stange,the pole
der Stab,the rod
der Riss,the crack
das Taschenmesser,the pocketknife
das Dreieck,the triangle
die Reibung,the friction
der Dampf,the steam
etwas messen,to measure something
das Messgerät,the measuring device
das Klebeband,the adhesive tape
der Magnet,the magnet
die Lauge,the lye
die Spannung,the tension
der Aufkleber,the sticker
der Laie,the layman
die Geschicklichkeit,the skill
"der Aufwand, die Mühe","""the effort, the trouble"""
einen Teppich weben,to weave a carpet
"einen Plan entwerfen, planen","""to design a plan, to plan"""
eingravieren,to engrave
etwas vergolden,to gild something
aufrichten,to erect
blasen,to blow
verdrehen,to twist
improvisieren,to improvise
einen Baum fällen,to fell a tree
einen Ast abschneiden,to cut off a branch
etwas beschneiden,to prune something
etwas schmieren,to lubricate something
stampfen,to stomp
rütteln,to shake
knirschen,to crunch
etwas heranziehen,to pull something up
dröhnen,to roar / boom
verdünnen,to dilute
löten,to solder
schnitzen,to carve
abdichten,to seal
bohren,to drill
schrauben,to screw
einheimisch,native / local
behutsam,careful
gebogen,bent
der Bauherr,the building owner
die Architektur,the architecture
der Bauingenieur,the civil engineer
der Bauarbeiter,the construction worker
das Baugerüst,the scaffolding
das Fundament,the foundation
die Baugrube,the excavation pit
der Graben,the ditch
der Kran,the crane
die Schaufel,the shovel
der Ziegelstein,the brick
der Mörtel,the mortar
der Grundriss,the floor plan
der Maßstab,the scale
die Säule,the column
die Phase,the phase
die Überwachung,the supervision
das Vordach,the canopy
die Rolltreppe,the escalator
der Kamin,the chimney
die Kuppel,the dome
die Stabilität,the stability
die Kerbe,the notch
die Stütze,the support
der Pfusch,the shoddy work
die Ursache des Einsturzes,the cause of the collapse
das Bohrgerät,the drilling rig
der Beton,the concrete
baggern,to dredge
der Bagger,the dredger
der Kies,the gravel
der Stahlbeton,the reinforced concrete
der Untergrund,the subsoil
der Tunnel,the tunnel
der Zement,the cement
die Druckluft,the compressed air
die Kreissäge,the circular saw
die Kettensäge,the chainsaw
"das Stockwerk, die Etage","""the floor, the story"""
Fliesen verlegen,to lay tiles
pflastern,to pave
ein Rohr abdichten,to seal a pipe
skizzieren,to sketch
zusammenfügen,to join together
eine Wand durchbrechen,to break through a wall
erfahren sein,to be experienced
hektisch,hectic
gemauert,bricked
das Element,the element
das Material,the material
die Säure,the acid
das verrostete Eisen,the rusted iron
das Messing,the brass
die Bronze,the bronze
das Kupfer,the copper
das Quecksilber,the mercury
das Zink,the zinc
das Zinn,the tin
das Aluminium,the aluminum
das Blei,the lead
das Nickel,the nickel
das Uran,the uranium
die Goldmine,the gold mine
die Reinheit,the purity
der Edelstein,the gemstone
der Diamant,the diamond
der Smaragd,the emerald
der Rubin,the ruby
die Perle,the pearl
das Elfenbein,the ivory
der Marmor,the marble
der Backstein,the brick
das Porzellan,the porcelain
der Samt,the velvet
der Wasserstoff,the hydrogen
der Kohlenstoff,the carbon
der Stickstoff,the nitrogen
der Schwefel,the sulfur
das Jod,the iodine
die Kapsel,the capsule
der Draht,the wire
der Kork,the cork
der Lehm,the clay
der Schlamm,the mud
die Tonerde,the clay soil
das Harz,the resin
der Asbest,the asbestos
das Dynamit,the dynamite
der Funke,the spark
die Kugel,the sphere
beinhalten,to contain
das vergilbte Papier,the yellowed paper
der Stofffetzen,the scrap of fabric
weich werden,to become soft
unterirdisch,underground
stumpf,blunt
"trübe, verschwommen","""cloudy, blurry"""
hohl,hollow
krumm,crooked
der Bandit,the bandit
der Täter,the perpetrator
der Gauner,the crook
der Schuft,the scoundrel
der Taschendieb,the pickpocket
der Bankräuber,the bank robber
die Bande,the gang
schmuggeln,to smuggle
der Schmuggler,the smuggler
der Spion,the spy
der Heiratsschwindler,the marriage swindler
die Geisel,the hostage
der Detektiv,the detective
der Kommissar,the commissioner
die Polizeistreife,the police patrol
die Handschellen,the handcuffs
der Augenzeuge,the eyewitness
der Verdacht,the suspicion
die Spur,the trace
das Alibi,the alibi
"der Bluff, die Täuschung","""the bluff, the deception"""
der Verrat,the betrayal
das Vergehen,the offense / misdemeanor
überfallen,to attack
vergewaltigen,to rape
jemanden ermorden,to murder someone
jemanden zu etwas anstiften,to incite someone to do something
jemanden ablenken von,to distract someone from
etwas verschweigen,to conceal something
sich ergeben,to surrender
sich ängstigen,to be afraid
etwas vermuten,to suspect something
untersuchen,to investigate
jemanden denunzieren,to denounce someone
jemanden entlarven,to expose someone
nach einem Verbrecher fahnden,to hunt for a criminal
eine Lüge durchschauen,to see through a lie
jemanden verfolgen,to follow someone
jemanden bestrafen,to punish someone
den Angeklagten freisprechen,to acquit the defendant
ein Verbrechen begehen,to commit a crime
eine Strafe zur Bewährung aussetzen,to suspend a sentence on probation
betrügen (strafrechtlich),to defraud (criminal law)
auf Bewährung verurteilt,sentenced on probation
lebenslänglich hinter Gitter,behind bars for life
verschwiegen sein,to be secretive
verkleidet,disguised
bestürzt sein,to be dismayed
tragisch,tragic
zwielichtig,shady / dubious
unanständig,indecent
das Bordell,the brothel
Mitternacht,midnight
das Grab,the grave
der Alptraum,the nightmare
die Realität,the reality
der Schalldämpfer,the silencer
die Meinungsfreiheit,the freedom of speech
die Pressefreiheit,the freedom of the press
die Berichterstattung,the reporting
die Sensation,the sensation
die Kolumne,the column
zensieren,to censor
die Zensur,the censorship
etwas enthüllen,to reveal something
etwas herausfinden,to find something out
manipulieren,to manipulate
die Auswirkung,the effect / impact
an etwas mangeln,to be lacking in something
gaffen,to gawk
Laut eines Augenzeugen,according to an eyewitness
jemanden für etwas würdigen,to honor someone for something
eine Strafe verdienen,to deserve a punishment
der Häftling,the prisoner
"sich vermummen, sich maskieren","""to mask oneself, to disguise oneself"""
jemanden begnadigen,to pardon someone
die Begnadigung,the pardon
ein Konflikt eskaliert,a conflict escalates
jemanden erschlagen,to slay someone
einen Streit schlichten,to settle a dispute
gegen etwas demonstrieren,to demonstrate against something
die Menschenmasse,the crowd
die Diktatur,the dictatorship
der Diktator,the dictator
der Diplomat,the diplomat
die Witwe,the widow
berühmt sein,to be famous
die Falle,the trap
irrtümlich,mistakenly
entstehen,to arise / originate
die Parodie,the parody
der Hehler,the fence (receiver of stolen goods)
die Vergewaltigung,the rape
das Ereignis,the event
der Obdachlose,the homeless person
obdachlos,homeless
die Hungersnot,the famine
unterernährt,undernourished
die Flagge,the flag
die Kolonien (Plural),the colonies (plural)
abgelenkt sein,to be distracted
versteckt sein,to be hidden
derzeit,currently
vorübergehend,temporarily
gezwungen,forced
die Putzfrau,the cleaning lady
die Zimmerreinigung,the room cleaning
der Schmutz,the dirt
der Eimer,the bucket
das Treppenhaus putzen,to clean the staircase
den Hof fegen,to sweep the yard
etwas abwischen,to wipe something
verwischen,to smudge / blur
lüften,to air / ventilate
der Gestank,the stench
abbürsten,to brush off
"zuklappen, zumachen","""to close, to shut"""
die Klappe,the flap
zusammenbinden,to tie together
etwas durchschneiden,to cut through something
tapezieren,to wallpaper
"vermodern, verfaulen","""to decay, to rot"""
sprühen,to spray
wölben,to arch
die Handarbeit,the manual labor
häkeln,to crochet
weben,to weave
sticken,to embroider
stricken,to knit
die Stricknadel,the knitting needle
die Stecknadel,the pin
die Schleife,the bow / loop
der Sicherungskasten,the fuse box
das Gas entweicht aus der Gasflasche,gas is escaping from the gas cylinder
die Gasheizung,the gas heating
die Harke,the rake
die Schuhcreme,the shoe polish
der Kessel,the kettle
der Korken,the cork
die Steckdose,the socket
der Stecker,the plug
die Türklinke,the door handle
der Zimmerschlüssel,the room key
der Boiler,the boiler
das Vorhängeschloss,the padlock
die Bettwäsche,the bed linen
der Brand,the fire
der Rauch,the smoke
die Glühbirne,the light bulb
das Wachs,the wax
das Gitter,the grate / bars
die Länge,the length
die Breite,the width
der Streifen,the stripe
die Treppenstufe,the step (of a stair)
das Geländer,the railing
der Hausschuh,the slipper
die Zerstreuung,the distraction
zerbrechlich,fragile
die Zutaten vermengen,to mix the ingredients
den Teig kneten,to knead the dough
etwas umrühren,to stir something
die Sahne steif schlagen,to whip the cream until stiff
streuen,to sprinkle
zerdrücken,to crush
etwas zerkleinern,to chop something up
etwas anzünden,to light something
etwas befeuchten,to moisten something
zerreiben,to grind / grate
zerstäuben,to atomize / spray
zerstampfen,to mash
etwas umdrehen,to turn something over
abkühlen,to cool down
reichlich,abundant
sättigen,to satisfy / saturate
erleichtern,to facilitate
der Wasserhahn,the faucet / tap
ein Glas ausspülen,to rinse out a glass
Wasser schöpfen,to draw water
der Abfluss,the drain
das abgestandene Wasser,the stale water
die ranzige Milch,the rancid milk
ein Steak grillen,to grill a steak
rösten,to roast
pökeln,to cure / pickle
schaben,to scrape
die Reibe,the grater
die Tube,the tube
der Trichter,the funnel
die Untertasse,the saucer
das scharfe Messer,the sharp knife
das Messer schärfen,to sharpen the knife
das Sieb,the sieve
die Waage,the scale
die Spüle,the sink
die Kochplatte,the hotplate
das Kochrezept,the recipe
die Kanne,the pot / jug
der Deckel,the lid
der Topf,the pot
der Becher,the mug / cup
der Schneebesen,the whisk
der Gasherd,the gas stove
die Mikrowelle,the microwave
das Tuch,the cloth
der Lappen,the rag
servieren,to serve
gut schmecken,to taste good
der Genießer,the connoisseur / gourmet
die rote Johannisbeere,the redcurrant
die schwarze Johannisbeere,the blackcurrant
die Brombeere,the blackberry
die Blaubeere,the blueberry
die Stachelbeere,the gooseberry
die Feige,the fig
die Melone,the melon
die Zucchini,the zucchini
der Kürbis,the pumpkin
der Fenchel,the fennel
das Sauerkraut,the sauerkraut
die Sojabohne,the soybean
die rote Beete,the beetroot
der Meerrettich,the horseradish
die Paprika,the bell pepper / paprika
die Artischocke,the artichoke
die Aubergine,the eggplant / aubergine
der Spargel,the asparagus
die Fleischbrühe,the meat broth
die Kräutermischung,the herb mix
die Petersilie,the parsley
der Salbei,the sage
die Muskatnuss,the nutmeg
das Basilikum,the basil
der Zimt,the cinnamon
die Gewürznelke,the clove
der Ingwer,the ginger
der Kümmel,the caraway
der Kakao,the cocoa
die Mandel,the almond
die Haselnuss,the hazelnut
die Erdnuss,the peanut
die Walnuss,the walnut
die Cashewnuss,the cashew nut
das Malz,the malt
die Gerste,the barley
der Brei,the porridge
das Marzipan,the marzipan
der Trüffel,the truffle
die Vanillesoße,the vanilla sauce
das Karamell,the caramel
das Bonbon,the candy / bonbon
der Speck,the bacon
der geräucherte Lachs,the smoked salmon
das Filet,the fillet
etwas geht zur Neige,something is running out
zermahlen,to grind
das Getreide mahlen,to grind the grain
etwas sieben,to sieve something
der Weizensamen,the wheat seed
der Roggen,the rye
das Weißbrot,the white bread
das Vollkornbrot,the whole wheat bread
der Teig,the dough
die Hefe,the yeast
die Speisestärke,the starch
es mangelt an,there is a lack of
das Eis lecken,to lick the ice cream
lutschen,to suck
einen Apfel schälen,to peel an apple
mit Stäbchen essen,to eat with chopsticks
verschlingen (viel und schnell essen),to devour (eat a lot and quickly)
gierig,greedy
bitter,bitter
verfault,rotten
abgelaufene Lebensmittel,expired food
entkoffeiniert,decaffeinated
der Kaugummi,the chewing gum
etwas verabscheuen,to detest something
abstoßend,disgusting
"geschmacklos, fade","""tasteless, bland"""
der Appetit,the appetite
der Hunger,the hunger
die Kühltruhe,the freezer
auftauen,to defrost
das Fertiggericht,the ready meal
die Bio-Produkte,the organic products
der Schöpflöffel,the ladle
der Messbecher,the measuring cup
der Beifahrer,the front passenger
der Vordersitz,the front seat
der Rücksitz,the back seat
der Außenspiegel,the side mirror
der Rückspiegel,the rearview mirror
das Heck,the rear (of a car)
das Taximeter,the taximeter
das Navigationsgerät,the navigation device
die Ampel,the traffic light
"die Mautstelle, das Mauthäuschen","""the toll booth, the tollhouse"""
die Überholspur,the fast lane
der Unfallbericht,the accident report
das Auto beschädigen,to damage the car
die Lokomotive,the locomotive
den Bus verpassen,to miss the bus
entgleisen,to derail
die Entgleisung,the derailment
der Flugzeugrumpf,the fuselage
die Mondlandung,the moon landing
die Raumschiff-Besatzung,the spaceship crew
der Astronaut,the astronaut
geölt,oiled
das Rohöl,the crude oil
das Erdöl,the petroleum
das Erdgas,the natural gas
die Erdkugel,the globe
die Wege verzweigen sich,the paths diverge
die Abzweigung,the fork / junction
notlanden,to make an emergency landing
die Notlandung,the emergency landing
gleiten,to glide
auseinander gehen,to separate / go apart
"kollidieren, aufeinanderprallen","""to collide, to crash into each other"""
beschleunigen,to accelerate
hinbringen,to take somewhere
einen Unfall verursachen,to cause an accident
abstürzen,to crash
unaufmerksam,inattentive
hupen,to honk
die Hupe,the horn
blinken (Auto),to flash / blink (car)
quietschen,to squeak
"die Pferdestärke, PS","""the horsepower, HP"""
vier Zylinder (Motor),four cylinders (engine)
der Kühler,the radiator
die Achse,the axle
der Kolben,the piston
die Zündkerze,the spark plug
das Ventil,the valve
der Rußfilter,the soot filter
der Leerlauf,the neutral gear
die Automatikschaltung,the automatic transmission
der Auspuff,the exhaust
das Gaspedal,the gas pedal
der Kotflügel,the fender
der Vergaser,the carburetor
der Lack,the paint / varnish
der Antrieb,the drive
"das Ersatzrad, der Reservereifen","""the spare wheel, the spare tire"""
der Türgriff,the door handle
der Wagenheber,the jack
der Kilometerzähler,the odometer
der Motor,the engine
der Tachometer,the speedometer
das Zahnrad,the gear wheel
der Blinker,the turn signal / indicator
die Zündung,the ignition
der Stoßdämpfer,the shock absorber
die Klingel,the bell
der Lenker,the handlebar
der Sattel,the saddle
der Gepäckträger,the luggage carrier
der Helm,the helmet
ankern,to anchor
die Boje,the buoy
die Schleuse,the lock (in a canal)
das Segel,the sail
der Bug,the bow (of a ship)
backbord,port (side of a ship)
steuerbord,starboard
rudern,to row
das Kanu,the canoe
die Yacht,the yacht
an Bord eines Schiffes,on board a ship
das Containerschiff,the container ship
die Fähre,the ferry
der Öltanker,the oil tanker
die Abnutzung,the wear and tear
der Fallschirm,the parachute
die Schiene,the rail
die Notbremse,the emergency brake
etwas ausgraben,to dig something out
einen Flug umbuchen,to rebook a flight
der Löwe,the lion
das Säugetier,the mammal
das Eichhörnchen,the squirrel
der Bär,the bear
der Wolf,the wolf
der Esel,the donkey
das Wildschwein,the wild boar
das Meerschweinchen,the guinea pig
der Marder,the marten
das Rehkitz,the fawn
der Igel,the hedgehog
der Eisbär,the polar bear
die Pfote,the paw
die Tatze,the paw
die Klaue,the claw
der Pelz,the fur
der Elch,the elk / moose
das Geweih,the antlers
die Eule,the owl
der (Vogel) Strauß,the ostrich
der Papagei,the parrot
der Falke,the falcon
der Schwan,the swan
die Krähe,the crow
der Specht,the woodpecker
die Amsel,the blackbird
der Geier,the vulture
der Kuckuck,the cuckoo
die Möwe,the seagull
der Pfau,the peacock
der Rabe,the raven
die Schwalbe,the swallow
der Storch,the stork
der Schnabel,the beak
die Spinne,the spider
der Wurm,the worm
die Ameise,the ant
die Schlange,the snake
die Klapperschlange,the rattlesnake
die Viper,the viper
die Natter,the grass snake
das Reptil,the reptile
die Kröte,the toad
der Stachel,the sting / spine
die Raupe,the caterpillar
die Libelle,the dragonfly
die Wanze,the bug
die Laus,the louse
der Blutegel,the leech
der Käfer,the beetle
die Larve,the larva
die Motte,the moth
die Schildkröte,the turtle
die Amöbe,the amoeba
das Krokodil,the crocodile
die Panzerung,the armor
der Hai,the shark
die Haifischflosse,the shark fin
der Hering,the herring
der Karpfen,the carp
der Aal,the eel
der Kabeljau,the cod
die Forelle,the trout
die Fischgräte,the fish bone
der Delfin,the dolphin
der Wal,the whale
die Koralle,the coral
die Qualle,the jellyfish
der Tintenfisch,the squid
schnappen,to snap
fressen,to eat (for animals)
der Wärter,the zookeeper
die Rasse,the breed
das Aas,the carrion
das Fossil,the fossil
krächzen,to caw
eine Tierart ausrotten,to eradicate a species
die Wildnis,the wilderness
der Feigenbaum,the fig tree
der Nadelbaum,the coniferous tree
die Tanne,the fir
die Birke,the birch
die Buche,the beech
die Pinie,the pine tree
der Strauch,the shrub
die Brennnessel,the nettle
der Farn,the fern
das Gewächs,the plant
der Hanf,the hemp
der Mohn,the poppy
der Hopfen,the hop
die Kamille,the chamomile
die Kastanie,the chestnut
der Lavendel,the lavender
der Löwenzahn,the dandelion
der Raps,the rapeseed
der Rettich,the radish
die Tulpe,the tulip
die Orchidee,the orchid
die Alge,the alga
das Efeu,the ivy
der Blumenkranz,the flower wreath
die Topfpflanze,the potted plant
der Olivenbaum,the olive tree
die Eiche,the oak
der Bambus,the bamboo
der Rasen,the lawn
die Artenvielfalt,the biodiversity
die Plantage,the plantation
die Blätter des Baumes,the leaves of the tree
die Dornen (Plural),the thorns (plural)
das Stroh,the straw
der Obstkern,the fruit stone / pit
verwelken,to wither
abschneiden,to cut off
ernten,to harvest
galoppieren,to gallop
reiten,to ride
traben,to trot
das Fohlen,the foal
der Huf des Pferdes,the horse's hoof
ein Beet bewässern,to water a bed
säen,to sow
ein Feld düngen,to fertilize a field
zerhacken,to chop
klappern,to clatter
quetschen,to squash
"mit der Schaufel arbeiten, schaufeln","""to work with a shovel, to shovel"""
melken,to milk
abladen,to unload
ein Huhn rupfen,to pluck a chicken
einen Hund verjagen,to chase a dog away
einen Weg begradigen,to straighten a path
verdrängen,to displace
auspumpen,to pump out
verdunsten,to evaporate
schrumpfen,to shrink
gedeihen,to thrive
züchten,to breed / cultivate
kriechen,to crawl
krabbeln,to creep
das Viehfutter,the animal feed
"die Tiere füttern, den Tieren Futter geben","""to feed the animals, to give the animals food"""
zutraulich sein,to be tame
Eier ausbrüten,to hatch eggs
das Kalb,the calf
der Bienenschwarm,the swarm of bees
die Schnecke,the snail
die Fledermaus,the bat
das Schlachthaus,the slaughterhouse
die Vogelscheuche,the scarecrow
der Zaun,the fence
der Karren,the cart
der Pfahl,the pole / stake
die Plage,the plague
das Insektizid,the insecticide
das Feld,the field
der Bolzen,the bolt
die Bewässerungsanlage,the irrigation system
der Mähdrescher,the combine harvester
der Gemüseladen,the vegetable shop
genügend,sufficient
unberechenbar,unpredictable
das Gras mähen,to mow the grass
flattern,to flutter
nageln,to nail
das Schaf,the sheep
die Ziege,the goat
der Bock,the buck
das Ferkel,the piglet
das Kaninchen,the rabbit
der Truthahn,the turkey
das Küken,the chick
das Nest,the nest
der Fuchs,the fox
der Dünger,the fertilizer
der Mist,the manure
das Wachstum,the growth
die Saison,the season
jemanden herausfordern,to challenge someone
im Spiel siegen,to win in a game
einen Rekord brechen,to break a record
flitzen (sehr schnell rennen),to dash (run very fast)
sich quälen,to torment oneself
hineinpassen,to fit in
erspähen,to spot
"beschummeln, bluffen","""to cheat, to bluff"""
im Wasser planschen,to splash in the water
abprallen,to bounce off
der Elfmeter,the penalty kick
"der Strafraum (1. allgemein, 2. beim Fußball)","""the penalty area (1. general, 2. in soccer)"""
die Mittellinie,the halfway line
der Freistoß,the free kick
abseits von,away from
das Abseits,the offside
der Fußball-Fan,the soccer fan
der Ausgleich,the equalizer
das Spielfeld,the field of play
die Seitenlinie,the sideline
der Linienrichter (wörtl.: der Hilfsrichter),the linesman (lit.: the assistant referee)
der Schiedsrichter,the referee
der Torwart,the goalkeeper
die Spielerbank,the players' bench
das Foul (beim Fußball),the foul (in soccer)
der Anpfiff,the kick-off
Tor!,Goal!
der Torpfosten,the goalpost
einen Spieler auswechseln,to substitute a player
die gelbe Karte,the yellow card
die Verlängerung,the extra time
das Trikot,the jersey
der Stürmer (beim Fußball),the striker (in soccer)
den Ball abgeben,to pass the ball
die erste Halbzeit,the first half
die Anzeigetafel,the scoreboard
das Aus,the out (of bounds)
"der Kopfball, mit dem Kopf","""the header, with the head"""
der Verteidiger (beim Fußball),the defender (in soccer)
der Knieschützer,the knee pad
der Pokal,the cup / trophy
das Abzeichen,the badge
die Meisterschaft,the championship
der Gewinner,the winner
der Tennisschläger,the tennis racket
der Aufschlag (beim Tennis),the serve (in tennis)
der Basketballkorb,the basketball hoop
das Ass,the ace
der Skistock,the ski pole
die Skipiste,the ski slope
der Skilift,the ski lift
mit einem Heißluftballon fahren,to ride in a hot air balloon
der Schnorchel,the snorkel
der Taucher,the diver
der Speer,the spear
der Pfadfinder,the boy scout
die Anstrengung,the effort
die Ausdauer,the endurance
das Seil,the rope
die Selbstverteidigung,the self-defense
stolpern,to stumble
schleudern,to hurl / fling
